region_id,region_name,slug,centre,boundary
CH-1222,Lauterbrunnen,ch_1222,"{""lon"": 7.308216, ""lat"": 46.466267}","{""type"":""Polygon"",""coordinates"":[[[7.366759,46.484084],[7.387758,46.466411],[7.387091,46.448648],[7.387068,46.448035],[7.38398,46.417292],[7.382411,46.405864],[7.371796,46.405783],[7.337947,46.40116],[7.258852,46.380307],[7.206001,46.355589],[7.193405,46.378744],[7.208351,46.404648],[7.238935,46.444045],[7.244942,46.446847],[7.263905,46.462172],[7.265991,46.466742],[7.272126,46.495178],[7.271062,46.522759],[7.271787,46.522398],[7.270563,46.530877],[7.26611,46.537022],[7.278613,46.543019],[7.303585,46.554987],[7.374644,46.553028],[7.356816,46.508085],[7.355469,46.497449],[7.357332,46.490231],[7.366759,46.484084]]]}"
CH-1223,Saanenland,ch_1223,"{""lon"": 7.296875, ""lat"": 46.353497}","{""type"":""Polygon"",""coordinates"":[[[7.308718,46.333959],[7.304764,46.332352],[7.277137,46.328808],[7.241403,46.327309],[7.23773,46.327154],[7.225259,46.328477],[7.221345,46.330458],[7.206001,46.355589],[7.258852,46.380307],[7.337947,46.40116],[7.371796,46.405783],[7.382411,46.405864],[7.384112,46.367372],[7.358559,46.352493],[7.325244,46.344912],[7.308718,46.333959]]]}"
CH-1224,Kandertal - Adelboden,ch_1224,"{""lon"": 7.427896, ""lat"": 46.483392}","{""type"":""Polygon"",""coordinates"":[[[7.496185,46.444745],[7.469282,46.443245],[7.42759,46.436991],[7.411015,46.431999],[7.38398,46.417292],[7.387068,46.448035],[7.387091,46.448648],[7.387758,46.466411],[7.366759,46.484084],[7.357332,46.490231],[7.355469,46.497449],[7.356816,46.508085],[7.374644,46.553028],[7.428264,46.543537],[7.451219,46.538774],[7.451265,46.538765],[7.478952,46.533013],[7.525275,46.514048],[7.499815,46.4984],[7.493854,46.469706],[7.496185,46.444745]]]}"
CH-1225,Simmental,ch_1225,"{""lon"": 7.462234, ""lat"": 46.397011}","{""type"":""Polygon"",""coordinates"":[[[7.553443,46.412063],[7.562502,46.381701],[7.536743,46.376425],[7.49736,46.370091],[7.486266,46.371724],[7.482225,46.374287],[7.468671,46.378265],[7.439595,46.383768],[7.433701,46.383345],[7.41816,46.379426],[7.395753,46.372535],[7.384112,46.367372],[7.382411,46.405864],[7.38398,46.417292],[7.411015,46.431999],[7.42759,46.436991],[7.469282,46.443245],[7.496185,46.444745],[7.553443,46.412063]]]}"
CH-1226,Kander - Glacier,ch_1226,"{""lon"": 7.616862, ""lat"": 46.583707}","{""type"":""Polygon"",""coordinates"":[[[7.622729,46.493873],[7.496185,46.444745],[7.493854,46.469706],[7.499815,46.4984],[7.525275,46.514048],[7.552654,46.548606],[7.559202,46.551777],[7.56377,46.552745],[7.572827,46.55686],[7.609993,46.6085],[7.613683,46.616328],[7.619331,46.628304],[7.637974,46.633805],[7.652742,46.647084],[7.653663,46.654121],[7.652655,46.66235],[7.649099,46.671031],[7.64038,46.683087],[7.632184,46.691334],[7.690156,46.663757],[7.692058,46.660428],[7.692427,46.634349],[7.687689,46.623208],[7.661578,46.604532],[7.644218,46.57737],[7.641645,46.56073],[7.639769,46.548594],[7.642504,46.512278],[7.643084,46.505396],[7.622729,46.493873]]]}"
CH-1227,Niesen - Frutigen,ch_1227,"{""lon"": 7.568641, ""lat"": 46.43576}","{""type"":""Polygon"",""coordinates"":[[[7.585423,46.414059],[7.553443,46.412063],[7.496185,46.444745],[7.622729,46.493873],[7.585423,46.414059]]]}"
CH-1228,Schilthorn,ch_1228,"{""lon"": 7.487809, ""lat"": 46.582059}","{""type"":""Polygon"",""coordinates"":[[[7.451219,46.538774],[7.428264,46.543537],[7.374644,46.553028],[7.303585,46.554987],[7.341089,46.592139],[7.349193,46.597057],[7.385119,46.614631],[7.444154,46.608882],[7.465735,46.61879],[7.492662,46.627769],[7.535737,46.640782],[7.548981,46.644778],[7.588852,46.646546],[7.619331,46.628304],[7.613683,46.616328],[7.609993,46.6085],[7.572827,46.55686],[7.56377,46.552745],[7.559202,46.551777],[7.552654,46.548606],[7.525275,46.514048],[7.478952,46.533013],[7.451265,46.538765],[7.451219,46.538774]]]}"
CH-1231,Grimsel - Oberhasli,ch_1231,"{""lon"": 7.721304, ""lat"": 46.59519}","{""type"":""Polygon"",""coordinates"":[[[7.70644,46.507894],[7.682558,46.490717],[7.673747,46.48777],[7.664607,46.48844],[7.656883,46.491403],[7.651629,46.49569],[7.643084,46.505396],[7.642504,46.512278],[7.639769,46.548594],[7.641645,46.56073],[7.644218,46.57737],[7.661578,46.604532],[7.687689,46.623208],[7.692427,46.634349],[7.692058,46.660428],[7.690156,46.663757],[7.690341,46.687834],[7.694812,46.683369],[7.703121,46.67507],[7.707188,46.671687],[7.725403,46.665621],[7.746437,46.65861],[7.754794,46.655823],[7.75871,46.655137],[7.771287,46.655551],[7.818192,46.660802],[7.822783,46.663373],[7.825899,46.665162],[7.826674,46.666811],[7.830834,46.654378],[7.79958,46.625061],[7.79485,46.618886],[7.788953,46.617911],[7.774954,46.606318],[7.760227,46.588926],[7.735386,46.558764],[7.723952,46.543075],[7.71587,46.527906],[7.714044,46.522224],[7.711743,46.514047],[7.70644,46.507894]]]}"
CH-1232,Lötschental,ch_1232,"{""lon"": 7.735503, ""lat"": 46.516389}","{""type"":""Polygon"",""coordinates"":[[[7.657557,46.412288],[7.60478,46.415145],[7.585423,46.414059],[7.622729,46.493873],[7.643084,46.505396],[7.651629,46.49569],[7.656883,46.491403],[7.664607,46.48844],[7.673747,46.48777],[7.682558,46.490717],[7.70644,46.507894],[7.711743,46.514047],[7.714044,46.522224],[7.71587,46.527906],[7.723952,46.543075],[7.735386,46.558764],[7.760227,46.588926],[7.774954,46.606318],[7.788953,46.617911],[7.79485,46.618886],[7.802059,46.612869],[7.809515,46.605511],[7.816967,46.59652],[7.823143,46.589065],[7.824926,46.586183],[7.826412,46.573994],[7.819089,46.52612],[7.812302,46.495723],[7.840724,46.478056],[7.837771,46.475343],[7.820324,46.46485],[7.740156,46.424769],[7.706734,46.415188],[7.657557,46.412288]]]}"
CH-1233,Guttannen,ch_1233,"{""lon"": 7.881728, ""lat"": 46.596251}","{""type"":""Polygon"",""coordinates"":[[[7.94759,46.59412],[7.964612,46.582939],[7.962685,46.579974],[7.89748,46.539776],[7.888607,46.53843],[7.880611,46.539448],[7.875767,46.541439],[7.872355,46.543819],[7.870114,46.549548],[7.869607,46.557638],[7.872526,46.565123],[7.878887,46.573581],[7.881241,46.58166],[7.883074,46.596768],[7.882061,46.607859],[7.878638,46.617389],[7.87428,46.623499],[7.868752,46.626139],[7.864808,46.628022],[7.851221,46.630739],[7.845235,46.630969],[7.839132,46.631177],[7.820777,46.62984],[7.79958,46.625061],[7.830834,46.654378],[7.908608,46.656073],[7.897226,46.633254],[7.916226,46.6185],[7.94759,46.59412]]]}"
