resort_uuid	location_uuid	role	is_primary	resort_name	location_name
c8c3de47-8ec3-45c3-9a3b-647d96f880c5	71ee11a6-04c9-508a-a0ee-a11a3cce688f	TOP	no	Grimentz	Corne de Sorebois
b6854f15-652d-4f41-999b-d384fb496d00	3a725121-cc97-58dc-8425-321cdabdb927	TOP	no	Grimmialp	Geissfluh
7ba892a8-e129-46f5-9c95-fe1391e56efc	96daa353-d07a-59be-8699-efadccaada8f	TOP	no	Grindelwald	Lauberhorn
14ebed62-2769-4918-ad7e-e45392487515	4f1d6f00-6fa5-5d99-a3ea-bd81c0fd580f	TOP	no	Gryon	Le Chamossaire
bbb3d82c-9115-56a5-9bfb-915c83c75af2	be8fa42e-b7ca-5ea2-82ad-46ee059d8ce9	TOP	no	Grächen	Distelhorn
97b18c6a-7adb-5152-9726-61033044fee7	61a2fbc7-6f69-5631-82e0-023fd9992efe	TOP	no	Grüsch Danusa	Höreli
0ac82ef8-b266-5461-8231-91d33f314999	0e5b92ca-524c-52d2-a20b-0490ca645437	TOP	no	Haldigrat	Klein Storchen
4c982ac5-85e6-4aa7-aee5-7906c1e758f9	68f1cea0-2749-5ce3-a7a5-546747a6aced	TOP	no	Hasliberg	Höhi Egg
b3fb5973-b2a2-51bf-ab7d-98d430455351	0d8ef6e3-eeb8-58c8-86a7-1cdfa02facd5	TOP	no	Hoch-Ybrig	Grotzligütsch
c199ed30-6934-51ce-b3b9-93db5b7ca055	5b7aad38-f639-59e7-85e2-ccb83ca685da	TOP	no	Hochwang	Montalin
c5962835-e2aa-4258-b364-862d257eaea3	07604fe5-d70b-533c-8d0f-0ff8a3959514	TOP	no	Jaun	Spitzhubel
4562ec07-0948-5ee6-90a2-9cee30e991e6	2ed85fed-a5aa-5973-9e2a-f33dc9906bd4	TOP	no	Klewenalp-Stockhütte	Zingel
e2b9b0bc-c32d-4118-8a61-0b6fb338bc35	1f34d133-6148-5bd4-9a53-36cdcbad031e	TOP	no	Klosters	Weissflue
422415af-4477-4222-a370-84f3d95eabdf	f2a78080-0be7-52cf-8111-e75706b4ce55	TOP	no	La Fouly	Luy Blanche
4d8ef9bc-8222-4d75-be92-2aff7f444897	6760fcfd-d84e-5ec6-91e9-3318fb0f7a14	TOP	no	Laax	Glarner Vorab
8152192b-ae61-5ae7-8dc3-d50dee168ea3	2b3b0d48-26b2-586d-915f-235a9919f30a	TOP	no	Lauenen	Seebüel
0b1d5b04-22da-48a2-967c-cbc28e7cf5f6	4acbaa81-018e-5950-9ce1-404bd637c7bd	TOP	no	Lenk	Leiterli
3df17365-3b1b-473b-bf9b-1c726a134b42	4f1d6f00-6fa5-5d99-a3ea-bd81c0fd580f	TOP	no	Les Diablerets	Le Chamossaire
1df74e40-6d61-5557-af48-7344dd91a093	57d8adce-01f3-5287-8fde-08f6e3ceece3	TOP	no	Les Mosses-La Lécherette	Tête du Lévanchy
46b0c7c5-2899-4507-9f87-65e36f2c3cde	3e6481a4-f5ae-5957-a601-76c9f98fc255	TOP	no	Leukerbad	Uf Fersyn
9b08079a-9b73-4e0c-b4ca-a8a40c4f933c	4f6ec2ef-fa59-5d78-9808-311f66899710	TOP	no	Leysin	Chaux de Mont
9e2f63b5-5f8e-4114-ac86-c1c9e643fe1b	4e91f849-2dba-54ad-aca9-9b138ead7ac1	TOP	no	Lötschental	Schwarzhorn
8b6163c0-29c3-4a62-9e6c-3926a5a392f5	68f1cea0-2749-5ce3-a7a5-546747a6aced	TOP	no	Meiringen	Höhi Egg
daf160e5-62ef-4298-9a33-f24121a9e3a5	b942141c-2a84-55a1-af36-32e1b5f02806	TOP	no	Melchsee-Frutt	Murmelchopf
ec9d8e2f-dd18-4482-81ff-a934ba9b66aa	1c50c21a-643e-5f4b-a4f9-aee525011dea	TOP	no	Moléson	Le Moléson
ce636e6c-971f-5b08-b8f9-e57246108ad6	ca75f7ea-9834-50c0-8eef-6f2b4b140bb0	TOP	no	Mythenregion	Geissstock
f281925f-94c8-52b3-9688-f69d79a13505	c2c19598-4240-5342-b3c5-b58faf169106	TOP	no	Mörlialp	Alpoglerberg
1b199d73-600d-4921-9b15-4b45a6d67d9b	a97a66ee-4bca-5e4b-b792-ccaca6983572	TOP	no	Mürren	Schilthorn
44bfdeb2-8522-56d8-a38c-aaa6d2c8a241	f09a818f-4722-53aa-96f6-1be2f553b001	TOP	no	Nax - Mont-Noble	La Bréchette
